Filename, Fuzzy Messages, Total Messages, Fuzzy Words, Total Words, Achievement
l10n/po/zh_CN/_versions/main/guides/_includes/devtools/dev.adoc.po, 2, 4, 2, 4, 50%
l10n/po/zh_CN/_versions/main/guides/_includes/platform-include.adoc.po, 1, 2, 2, 17, 89%
l10n/po/zh_CN/_versions/main/guides/_includes/devtools/build.adoc.po, 1, 4, 1, 4, 75%
l10n/po/zh_CN/_versions/main/guides/_includes/devtools/test.adoc.po, 1, 3, 1, 3, 67%
l10n/po/zh_CN/_versions/main/guides/guides.md.po, 1, 3, 1, 6, 84%
l10n/po/zh_CN/_versions/main/guides/_includes/devtools/run.adoc.po, 0, 4, 0, 4, 100%
l10n/po/zh_CN/_versions/main/guides/_includes/json-provider-note.adoc.po, 0, 4, 0, 71, 100%
l10n/po/zh_CN/_versions/main/guides/_includes/observability-include.adoc.po, 0, 2, 0, 22, 100%
l10n/po/zh_CN/_versions/main/guides/_includes/opentelemetry-config.adoc.po, 0, 14, 0, 226, 100%
l10n/po/zh_CN/_versions/main/guides/_includes/snip-note-derby.adoc.po, 0, 1, 0, 3, 100%
l10n/po/zh_CN/_versions/main/guides/_includes/snip-note-encrypted-pem-tech-prev.adoc.po, 0, 1, 0, 6, 100%
l10n/po/zh_CN/_versions/main/guides/all-builditems.adoc.po, 0, 3, 0, 31, 100%
l10n/po/zh_CN/_versions/main/guides/apicurio-registry-dev-services.adoc.po, 0, 22, 0, 416, 100%
l10n/po/zh_CN/_versions/main/guides/assistant.adoc.po, 0, 103, 0, 1120, 100%
l10n/po/zh_CN/_versions/main/guides/compose-dev-services.adoc.po, 0, 175, 0, 2259, 100%
l10n/po/zh_CN/_versions/main/guides/cyclonedx.adoc.po, 0, 68, 0, 1458, 100%
l10n/po/zh_CN/_versions/main/guides/deploying-to-openshift-S2I-howto.adoc.po, 0, 42, 0, 571, 100%
l10n/po/zh_CN/_versions/main/guides/deploying-to-openshift-docker-howto.adoc.po, 0, 30, 0, 443, 100%
l10n/po/zh_CN/_versions/main/guides/deploying-to-openshift-howto.adoc.po, 0, 32, 0, 482, 100%
l10n/po/zh_CN/_versions/main/guides/deploying-to-openshift-native-howto.adoc.po, 0, 30, 0, 395, 100%
l10n/po/zh_CN/_versions/main/guides/deploying-to-openshift-s2i-howto.adoc.po, 0, 41, 0, 555, 100%
l10n/po/zh_CN/_versions/main/guides/dev-mcp.adoc.po, 0, 39, 0, 707, 100%
l10n/po/zh_CN/_versions/main/guides/drools.adoc.po, 0, 68, 0, 1552, 100%
l10n/po/zh_CN/_versions/main/guides/extension-faq.adoc.po, 0, 40, 0, 933, 100%
l10n/po/zh_CN/_versions/main/guides/extension-maturity-matrix.adoc.po, 0, 65, 0, 1428, 100%
l10n/po/zh_CN/_versions/main/guides/extension-writing-dev-service.adoc.po, 0, 27, 0, 438, 100%
l10n/po/zh_CN/_versions/main/guides/grpc-cli.adoc.po, 0, 9, 0, 40, 100%
l10n/po/zh_CN/_versions/main/guides/hibernate-panache-next.adoc.po, 0, 171, 0, 2289, 100%
l10n/po/zh_CN/_versions/main/guides/hibernate-panache.adoc.po, 0, 170, 0, 2290, 100%
l10n/po/zh_CN/_versions/main/guides/jfr.adoc.po, 0, 107, 0, 1826, 100%
l10n/po/zh_CN/_versions/main/guides/load-shedding-reference.adoc.po, 0, 64, 0, 1160, 100%
l10n/po/zh_CN/_versions/main/guides/lra-dev-services.adoc.po, 0, 20, 0, 449, 100%
l10n/po/zh_CN/_versions/main/guides/messaging.adoc.po, 0, 205, 0, 3790, 100%
l10n/po/zh_CN/_versions/main/guides/mongodb-dev-services.adoc.po, 0, 12, 0, 282, 100%
l10n/po/zh_CN/_versions/main/guides/mongodb-panache-kotlin.adoc.po, 0, 24, 0, 607, 100%
l10n/po/zh_CN/_versions/main/guides/observability.adoc.po, 0, 57, 0, 645, 100%
l10n/po/zh_CN/_versions/main/guides/opentelemetry-logging.adoc.po, 0, 48, 0, 590, 100%
l10n/po/zh_CN/_versions/main/guides/opentelemetry-metrics.adoc.po, 0, 175, 0, 1773, 100%
l10n/po/zh_CN/_versions/main/guides/opentelemetry-tracing.adoc.po, 0, 163, 0, 2185, 100%
l10n/po/zh_CN/_versions/main/guides/quarkus-runtime-base-image.adoc.po, 0, 16, 0, 268, 100%
l10n/po/zh_CN/_versions/main/guides/security-oidc-expanded-configuration.adoc.po, 0, 728, 0, 13253, 100%
l10n/po/zh_CN/_versions/main/guides/security-openid-connect-client-registration.adoc.po, 0, 58, 0, 1025, 100%
l10n/po/zh_CN/_versions/main/guides/security-vertx-oidc-to-quarkus-oidc-migration.adoc.po, 0, 132, 0, 3155, 100%
l10n/po/zh_CN/_versions/main/guides/stork-registration.adoc.po, 0, 45, 0, 456, 100%
l10n/po/zh_CN/_versions/main/guides/telemetry-examples.yaml.po, 0, 2, 0, 4, 100%
l10n/po/zh_CN/_versions/main/guides/telemetry-micrometer-to-opentelemetry.adoc.po, 0, 106, 0, 1009, 100%
l10n/po/zh_CN/_versions/main/guides/testing-components.adoc.po, 0, 75, 0, 1416, 100%
l10n/po/zh_CN/_versions/main/guides/tls-registry-reference.adoc.po, 0, 341, 0, 6154, 100%
